Type,Selector Name
Class,.MFLPlayerPopupArticleContainer
Class,.MFLPlayerPopupJersey
Class,.MFLPlayerPopupLoader
Class,.MFLPlayerPopupMoreNews
Class,.MFLPlayerPopupNFLTeamLogo
Class,.MFLPlayerPopupNotificationContainer
Class,.MFLPlayerPopupTab
Class,.MFLPlayerPopupTabContent
Class,.MFLPopTabWrap
Class,.acct
Class,.active
Class,.all_play_pct
Class,.all_play_wlt
Class,.altpwr
Class,.article
Class,.articlepicture
Class,.avgpa
Class,.avgpf
Class,.bbidbalance
Class,.bbidspent
Class,.bottomteam
Class,.bracket
Class,.brandlogo
Class,.calendarday
Class,.confl
Class,.confpct
Class,.confpf
Class,.conft
Class,.confw
Class,.confwlt
Class,.contractyear
Class,.credit
Class,.currenttab
Class,.currentweek
Class,.debit
Class,.divl
Class,.divpct
Class,.divpf
Class,.divt
Class,.divw
Class,.divwlt
Class,.dp
Class,.draft_picks_container
Class,.draft_picks_header
Class,.drafted
Class,.eff
Class,.error
Class,.eventablerow
Class,.form_buttons
Class,.franchise
Class,.franchise_eliminated
Class,.franchise_offline
Class,.franchise_online
Class,.franchiseicon
Class,.franchiselogo
Class,.franchisename
Class,.gameunderway
Class,.gb
Class,.h2hl
Class,.h2hpct
Class,.h2ht
Class,.h2hw
Class,.h2hwlt
Class,.has-sub
Class,.haspossession
Class,.header_links
Class,.headline
Class,.highlight
Class,.highscore
Class,.hint
Class,.homepagecolumn
Class,.homepagemessage
Class,.homepagemodule
Class,.inputfield
Class,.inputlabel
Class,.leaguelogo
Class,.livescoringsummary
Class,.lowscore
Class,.maxpa
Class,.maxpf
Class,.mfl-icon
Class,.mflModal
Class,.mflModal-body
Class,.mflModal-content
Class,.minpa
Class,.minpf
Class,.mobile-view-draft
Class,.module_expand
Class,.moohighlight
Class,.myfantasyleague_menu
Class,.myfantasyleague_tabmenu
Class,.newposition
Class,.no-sub
Class,.nonconfl
Class,.nonconfpct
Class,.nonconft
Class,.nonconfw
Class,.nonconfwlt
Class,.nondivl
Class,.nondivpct
Class,.nondivt
Class,.nondivw
Class,.nondivwlt
Class,.oddtablerow
Class,.op
Class,.pa
Class,.pagefooter
Class,.pageheader
Class,.pagetitle
Class,.pb
Class,.pf
Class,.pick
Class,.picks
Class,.player-search
Class,.playerPopupIcon
Class,.playoffbracket
Class,.points
Class,.pop-photo
Class,.popreport
Class,.popreportfooter
Class,.pp
Class,.pwr
Class,.rank
Class,.reallysmall
Class,.redzone
Class,.report
Class,.reportfooter
Class,.reportform
Class,.reportnavigation
Class,.reportnavigationheader
Class,.requiredfield
Class,.rows-4
Class,.rows-6
Class,.rulestable
Class,.salary
Class,.selection
Class,.shouldbench
Class,.shouldstart
Class,.standingslogo
Class,.strk
Class,.sub-default
Class,.tabs_scroll
Class,.tiebreaker
Class,.timestamp
Class,.today
Class,.tool-text
Class,.tool-tip
Class,.tool-title
Class,.topteam
Class,.updatedstats
Class,.verticalmenu
Class,.vp
Class,.warning
Class,.week
Class,.welcome
Class,.withleft
Class,.ww
Class,.year
ID,#MFLPlayerPopupArticleLoaded
ID,#MFLPlayerPopupBio
ID,#MFLPlayerPopupBioTab
ID,#MFLPlayerPopupClose
ID,#MFLPlayerPopupCommishMessage
ID,#MFLPlayerPopupContainer
ID,#MFLPlayerPopupHeader
ID,#MFLPlayerPopupLinks
ID,#MFLPlayerPopupLoaded
ID,#MFLPlayerPopupLoading
ID,#MFLPlayerPopupMessages
ID,#MFLPlayerPopupNews
ID,#MFLPlayerPopupOverlay
ID,#MFLPlayerPopupReminders
ID,#MFLPlayerPopupStats
ID,#MFLPlayerPopupStatsHistory
ID,#MFLPlayerPopupTrades
ID,#add
ID,#body_ajax_la
ID,#body_ajax_ld
ID,#body_login
ID,#body_options_254
ID,#body_options_26
ID,#body_pro_schedule
ID,#brief_standings
ID,#destination_list
ID,#draft_countdown_timer
ID,#draft_picks_container
ID,#draft_status
ID,#draft_status_table
ID,#drop
ID,#home
ID,#homepagecolumns
ID,#homepagetabs
ID,#hsubmenu
ID,#league_chat
ID,#map_canvas
ID,#modal_body_player
ID,#monthly_calendar
ID,#myfantasyleague_tabs
ID,#options_238
ID,#owner_activity
ID,#picker
ID,#pickertop
ID,#pmLink
ID,#source_list
ID,#standings
ID,#support
ID,#vsubmenu
ID,#waiver_request_list
ID,#weekly_summary
ID,#withmenus
