Rank,Power Index,Franchise ID,Franchise,Rank Comments
1,93.6,18,InWinceAbles 2.0,
2,87.2,34,FreeBallers,
3,84.6,1,Bombers,
4,84.3,17,McLean's McTeam,
5,79.4,19,Honeybadgers,
6,78.9,15,Dingoes,
7,78.8,21,Rollover,
8,78.6,28,Bessel's Vessels,
9,78.0,24,Harbaugh’s Heros,
10,77.1,29,Biltong & Kimchi,
11,76.6,2,Chugifer Returns,
12,76.6,3,Booger's Gas-passers,
13,76.5,9,PAIN TRAIN,
14,76.3,32,Gold Standard,
15,75.9,6,Norseman Cometh,
16,75.2,30,Brett's Bets,
17,74.9,27,Bend It Like Bendeck,
18,74.6,12,Funky Cold Medina,
19,72.6,8,Water (and Electric) Boy Ferrell,
20,72.6,4,Ankit's a Rookie No More!,
21,72.5,23,Zippy's Speedsters,
22,72.1,33,Team Hatherley Corkery,
23,72.1,22,Skol Krushers,
24,71.7,16,Kappler's Team,
25,71.4,7,Draft Dodgers,
26,71.3,10,Atlanta Fantasy Football Team,
27,70.9,14,Chia Kung Fu Fighters,
28,70.4,25,Team West,
29,68.7,5,O Canada,
30,68.6,13,Wendt's Motown Masher,
31,68.0,35,Inappropriate Comment,
32,67.0,36,Sailor's Delight,
33,66.1,20,Talented Mr Riley,
34,65.5,11,Wyld Stallyns,
35,64.8,31,Nashville,
36,63.3,26,Phat Sackers,
